PairID,Algorithm,X,Y,Z
1,RRT*,0.611821,0.0843928,1.21948
1,RRT*,0.6019,0.0832391,1.21322
1,RRT*,0.592096,0.0820379,1.20679
1,RRT*,0.582411,0.0807895,1.20021
1,RRT*,0.572849,0.0794945,1.19348
1,RRT*,0.563412,0.0781534,1.1866
1,RRT*,0.554104,0.0767667,1.17956
1,RRT*,0.544929,0.075335,1.17238
1,RRT*,0.535887,0.0738589,1.16506
1,RRT*,0.526984,0.072339,1.15759
1,RRT*,0.51822,0.0707759,1.14999
1,RRT*,0.5096,0.0691704,1.14225
1,RRT*,0.501126,0.0675231,1.13438
1,RRT*,0.492799,0.0658347,1.12638
1,RRT*,0.484623,0.0641061,1.11825
1,RRT*,0.476601,0.062338,1.11
1,RRT*,0.468734,0.0605313,1.10162
1,RRT*,0.461025,0.0586867,1.09313
1,RRT*,0.453475,0.0568052,1.08453
1,RRT*,0.446088,0.0548875,1.07581
1,RRT*,0.438865,0.0529347,1.06699
1,RRT*,0.431809,0.0509477,1.05806
1,RRT*,0.42492,0.0489273,1.04903
1,RRT*,0.418202,0.0468746,1.0399
1,RRT*,0.411655,0.0447906,1.03067
1,RRT*,0.405282,0.0426763,1.02136
1,RRT*,0.399083,0.0405327,1.01195
1,RRT*,0.393062,0.0383609,1.00246
1,RRT*,0.387218,0.0361619,0.99289
1,RRT*,0.381555,0.0339369,0.98324
1,RRT*,0.376098,0.031698,0.973562
1,RRT*,0.371582,0.0297679,0.965245
1,RRT*,0.368271,0.0283046,0.958954
1,RRT*,0.366092,0.0273175,0.954716
1,RRT*,0.364993,0.0268127,0.952551
1,RRT*,0.36484,0.0267417,0.952247
2,RRT,0.364776,0.0268771,0.95221
2,RRT,0.365398,0.0259444,0.952807
2,RRT,0.367274,0.0231538,0.954595
2,RRT,0.370436,0.0185277,0.957556
2,RRT,0.374937,0.0121042,0.961665
2,RRT,0.380847,0.0039382,0.966884
2,RRT,0.388258,-0.00589703,0.973166
2,RRT,0.397063,-0.0170469,0.980283
2,RRT,0.406277,-0.0281442,0.987366
2,RRT,0.415751,-0.039001,0.9943
2,RRT,0.42548,-0.0496103,1.00108
2,RRT,0.435453,-0.0599655,1.00771
2,RRT,0.445664,-0.0700603,1.01419
2,RRT,0.456103,-0.0798885,1.02052
2,RRT,0.466763,-0.0894443,1.02669
2,RRT,0.477634,-0.0987221,1.03271
2,RRT,0.488708,-0.107717,1.03858
2,RRT,0.499975,-0.116423,1.04429
2,RRT,0.511427,-0.124836,1.04985
2,RRT,0.523055,-0.132952,1.05526
2,RRT,0.534848,-0.140766,1.06051
2,RRT,0.546798,-0.148275,1.06561
2,RRT,0.558896,-0.155475,1.07056
2,RRT,0.571132,-0.162362,1.07535
2,RRT,0.583496,-0.168934,1.08
2,RRT,0.595978,-0.175187,1.08449
2,RRT,0.60857,-0.18112,1.08883
2,RRT,0.621262,-0.186731,1.09302
2,RRT,0.634044,-0.192016,1.09706
2,RRT,0.646905,-0.196976,1.10095
2,RRT,0.659838,-0.201608,1.1047
2,RRT,0.672832,-0.205912,1.1083
2,RRT,0.685877,-0.209886,1.11175
2,RRT,0.698964,-0.213531,1.11506
2,RRT,0.712084,-0.216845,1.11822
2,RRT,0.725227,-0.21983,1.12124
2,RRT,0.738383,-0.222485,1.12412
2,RRT,0.751544,-0.224811,1.12686
2,RRT,0.7647,-0.226809,1.12946
2,RRT,0.777842,-0.228479,1.13193
2,RRT,0.790961,-0.229824,1.13426
2,RRT,0.804048,-0.230845,1.13646
2,RRT,0.817094,-0.231543,1.13852
2,RRT,0.83009,-0.23192,1.14045
2,RRT,0.843028,-0.231979,1.14226
2,RRT,0.855899,-0.231722,1.14393
2,RRT,0.868695,-0.231153,1.14548
2,RRT,0.881408,-0.230272,1.14691
2,RRT,0.894029,-0.229085,1.14822
2,RRT,0.906551,-0.227593,1.1494
2,RRT,0.918965,-0.225801,1.15047
2,RRT,0.931265,-0.223712,1.15142
2,RRT,0.943442,-0.221329,1.15226
2,RRT,0.955489,-0.218657,1.15298
2,RRT,0.9674,-0.2157,1.1536
2,RRT,0.979167,-0.212461,1.15411
2,RRT,0.990782,-0.208946,1.15451
2,RRT,1.00224,-0.205159,1.1548
2,RRT,1.01354,-0.201104,1.155
2,RRT,1.02466,-0.196787,1.15509
2,RRT,1.03561,-0.192211,1.15509
2,RRT,1.04637,-0.187383,1.15499
2,RRT,1.05695,-0.182307,1.15479
