PairID,Algorithm,PlanningTime_ms,ExecutionTime_ms,Smoothness,PathLength
195,RRT*,5054,5058,0.00465969,3.62674
196,RRT,86,101,0.00611843,6.01164
196,RRT*,5042,5036,0.00873956,3.97156
197,RRT,63,80,0.00619212,5.37762
197,RRT*,5051,42,0.00781632,3.72349
198,RRT,99,64,0.00678921,6.12496
198,RRT*,5077,33,0.0044269,4.60721
199,RRT,80,66,0.0139318,5.98918
199,RRT*,5082,5043,0.00296132,5.2115
200,RRT,70,148,0.0059267,5.76948
200,RRT*,5043,5074,0.00743744,3.41213
201,RRT,68,88,0.00382973,4.51739
201,RRT*,5058,5029,0.00182038,5.13749
202,RRT,80,88,0.00268705,5.33534
202,RRT*,5037,5076,0.00483967,3.95544
203,RRT,58,153,0.00921336,4.37893
203,RRT*,5066,5043,0.00492746,4.96488
204,RRT,76,148,0.00343123,4.83723
204,RRT*,5073,43,0.00147738,4.58649
205,RRT,137,94,0.00207905,6.37992
205,RRT*,5028,5027,0.0423713,1.9213
206,RRT,91,78,0.00283934,6.2766
206,RRT*,5051,5041,0.0048737,4.50142
207,RRT,91,48,0.00321701,6.22648
207,RRT*,5061,5033,0.00413089,5.0188
208,RRT,106,97,0.00752871,5.16107
208,RRT*,5062,5054,0.00253986,4.53179
209,RRT,97,78,0.0055106,4.95867
209,RRT*,5052,5070,0.0031308,4.80842
210,RRT,100,99,0.00414406,7.09764
210,RRT*,5028,5064,0.0155378,1.84881
211,RRT,82,34,0.00307637,5.85147
211,RRT*,5061,5045,0.0105482,5.17688
212,RRT,101,73,0.00256559,6.99014
212,RRT*,5047,5034,0.00223554,3.71854
213,RRT,75,71,0.0132324,3.7421
213,RRT*,5022,5090,0.025146,1.03645
214,RRT,115,97,0.00295806,6.22788
214,RRT*,5062,5099,0.0036322,5.11263
215,RRT,115,74,0.010258,6.35417
215,RRT*,5046,5036,0.0051768,3.89672
216,RRT,124,93,0.00592055,6.9415
216,RRT*,5042,5055,0.0042731,4.45809
217,RRT,90,122,0.00767585,5.68426
217,RRT*,5038,5085,0.00960234,4.04009
218,RRT,77,86,0.00192214,5.76812
218,RRT*,5055,5055,0.00271027,4.68175
219,RRT,94,37995,0.00710835,4.7142
219,RRT*,5038,21004,0.00673764,4.06859
220,RRT,72,21315,0.00399259,4.92192
