PairID,Algorithm,Time,Joint1_Position,Joint1_Velocity,Joint1_Acceleration,Joint2_Position,Joint2_Velocity,Joint2_Acceleration,Joint3_Position,Joint3_Velocity,Joint3_Acceleration,Joint4_Position,Joint4_Velocity,Joint4_Acceleration,Joint5_Position,Joint5_Velocity,Joint5_Acceleration,Joint6_Position,Joint6_Velocity,Joint6_Acceleration,Joint7_Position,Joint7_Velocity,Joint7_Acceleration
1,RRT,7.4,-0.43041,0.387797,-1.12665,1.04944,2.01271,-1.90039,-0.983022,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.73017e-11,3.18395e-11,-1.16303e-10,5.30935e-11,5.27618e-11,-1.82137e-11,6.09981e-11
1,RRT,7.5,-0.427813,0.383017,-1.1092,1.04147,2.00479,-1.89766,-0.992178,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.7303e-11,3.18498e-11,-1.16245e-10,5.30937e-11,5.27713e-11,-1.82137e-11,6.09916e-11
1,RRT,7.6,-0.425216,0.378236,-1.09174,1.0335,1.99686,-1.89492,-1.00133,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.72952e-11,3.18448e-11,-1.16242e-10,5.3094e-11,5.27459e-11,-1.82136e-11,6.09826e-11
1,RRT,7.7,-0.422619,0.373456,-1.07429,1.02554,1.98894,-1.89219,-1.01049,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.73076e-11,3.18615e-11,-1.16334e-10,5.30944e-11,5.27562e-11,-1.82255e-11,6.10175e-11
1,RRT,7.8,-0.420022,0.368676,-1.05684,1.01757,1.98102,-1.88946,-1.01965,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.72961e-11,3.18571e-11,-1.16359e-10,5.30951e-11,5.27733e-11,-1.82293e-11,6.10111e-11
1,RRT,7.9,-0.417425,0.363895,-1.03938,1.0096,1.9731,-1.88672,-1.0288,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.72973e-11,3.18483e-11,-1.16215e-10,5.30966e-11,5.27111e-11,-1.82128e-11,6.09984e-11
1,RRT,8,-0.414828,0.359115,-1.02193,1.00163,1.96518,-1.88399,-1.03796,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.73565e-11,3.17855e-11,-1.16268e-10,5.31152e-11,5.2697e-11,-1.8193e-11,6.06433e-11
1,RRT,8.1,-0.412231,0.354335,-1.00448,0.993662,1.95725,-1.88126,-1.04711,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.73098e-11,3.1865e-11,-1.16326e-10,5.31011e-11,5.27983e-11,-1.8222e-11,6.10187e-11
1,RRT,8.2,-0.409634,0.349554,-0.987025,0.985693,1.94933,-1.87852,-1.05627,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.73111e-11,3.18642e-11,-1.16332e-10,5.31018e-11,5.28058e-11,-1.82226e-11,6.10173e-11
1,RRT,8.3,-0.407038,0.344774,-0.969572,0.977725,1.94141,-1.87579,-1.06542,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.73126e-11,3.18633e-11,-1.16338e-10,5.31027e-11,5.27977e-11,-1.82233e-11,6.10156e-11
1,RRT,8.4,-0.404441,0.339994,-0.952119,0.969756,1.93349,-1.87305,-1.07458,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.73098e-11,3.18622e-11,-1.16345e-10,5.31037e-11,5.28066e-11,-1.82196e-11,6.10135e-11
1,RRT,8.5,-0.401844,0.335213,-0.934666,0.961788,1.92557,-1.87032,-1.08374,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.73115e-11,3.18609e-11,-1.16354e-10,5.31049e-11,5.27969e-11,-1.82202e-11,6.10111e-11
1,RRT,8.6,-0.399247,0.330433,-0.917213,0.953819,1.91764,-1.86759,-1.09289,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.72809e-11,3.18105e-11,-1.16139e-10,5.30339e-11,5.27146e-11,-1.81897e-11,6.08945e-11
